Monat;Originalwert;Kalender- und saisonbereinigt (X13 JDemetra+)
2013-01;80,3;98,9
2013-02;79,9;97,4
2013-03;92,3;98,1
2013-04;95,4;98,4
2013-05;103,6;96,3
2013-06;104,6;98,9
2013-07;107,8;99
2013-08;108,6;99
2013-09;109,6;98,8
2013-10;106,1;99,8
2013-11;93,9;98,7
2013-12;99,2;98,4
2014-01;81,2;99,4
2014-02;81;98,9
2014-03;92,6;98,7
2014-04;93,4;97,2
2014-05;107,5;99,1
2014-06;103,7;98,1
2014-07;107,6;99
2014-08;109,9;100,4
2014-09;111;100,2
2014-10;107,4;100,5
2014-11;95,3;100,8
2014-12;101;100,3
2015-01;81,4;98,5
2015-02;81,5;99,5
2015-03;91,4;98,1
2015-04;94,8;98,5
2015-05;107,2;99,3
2015-06;107,3;101,3
2015-07;110,4;100,8
2015-08;111,3;102
2015-09;110,1;100,2
2015-10;107,7;99,9
2015-11;94,8;100,3
2015-12;102,1;101,6
2016-01;82,1;99,5
2016-02;83,8;99,7
2016-03;92,9;100,2
2016-04;98,8;101,1
2016-05;106,2;99,5
2016-06;105,9;100,4
2016-07;112,1;101,7
2016-08;109,5;101,3
2016-09;114,9;103,4
2016-10;107,8;100,4
2016-11;93,9;100
2016-12;102;99,7
2017-01;82,6;100,9
2017-02;83,3;101,7
2017-03;97,5;104,4
2017-04;99,2;102,2
2017-05;110,1;103,7
2017-06;109,2;102,4
2017-07;113;102,8
2017-08;109,5;101,7
2017-09;114,5;102,8
2017-10;109;102,2
2017-11;95,6;101,5
2017-12;105,1;103
2018-01;85,4;104,5
2018-02;84,2;102,7
2018-03;96,1;101,9
2018-04;102,4;105,6
2018-05;108,3;102,4
2018-06;111;103,4
2018-07;113,2;103,8
2018-08;112,2;103,7
2018-09;116;104,9
2018-10;110;103,5
2018-11;99,8;104,9
2018-12;106,6;104,6
2019-01;86;105,3
2019-02;87,7;106,9
2019-03;99,9;105,9
2019-04;101,4;104,4
2019-05;109,7;103,2
2019-06;112;105
2019-07;112,3;103,4
2019-08;113,1;103,7
2019-09;114,2;103,7
2019-10;111,1;104,8
2019-11;101,8;106,5
2019-12;106,7;105,4
2020-01;86,5;105,1
2020-02;88,4;104,7
2020-03;54,7;58,4
2020-04;25,5;26,4
2020-05;40,4;37,7
2020-06;66;61,9
2020-07;84,8;77,9
2020-08;90,2;83,2
2020-09;89;81,5
2020-10;77,2;71,6
2020-11;33,3;35,1
2020-12;31,2;30,9
2021-01;32,2;38,8
2021-02;31,8;38,8
2021-03;38,3;41
2021-04;36,4;37,2
2021-05;45,8;42,9
2021-06;70,7;66,9
2021-07;86,3;78,7
2021-08;90,6;84,2
2021-09;91,6;83,7
2021-10;91,1;84,7
2021-11;75,4;79,5
2021-12;65,3;64,3
2022-01;66,5;80,2
2022-02;68,8;83,8
2022-03;80,6;86,3
2022-04;90,1;91,8
2022-05;105,5;99,5
2022-06;104,5;98,6
2022-07;104,9;96,1
2022-08;102,2;95,3
2022-09;104,7;94,8
2022-10;102,4;95,3
2022-11;86,8;92,1
2022-12;81,6;79,7
