Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;VST074__Reallohnindex__1Q2022=100;CH0004__Veraenderung_zum_Vorjahresquartal__in_(%);VST075__Nominallohnindex__1Q2022=100;CH0006__Veraenderung_zum_Vorjahresquartal__in_(%)
62361;Verdiensterhebung;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;100,3;1,0;90,1;2,7
62361;Verdiensterhebung;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;107,0;1,5;96,8;2,9
62361;Verdiensterhebung;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;98,9;0,8;90,2;2,4
62361;Verdiensterhebung;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;112,5;0,6;102,4;2,1
62361;Verdiensterhebung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;101,6;1,3;92,5;2,7
62361;Verdiensterhebung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;107,8;0,7;99,3;2,6
62361;Verdiensterhebung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;100,6;1,7;93,5;3,7
62361;Verdiensterhebung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;114,0;1,3;105,8;3,3
62361;Verdiensterhebung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;102,8;1,2;94,8;2,5
62361;Verdiensterhebung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;109,3;1,4;102,3;3,0
62361;Verdiensterhebung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;102,7;2,1;96,7;3,4
62361;Verdiensterhebung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;114,9;0,8;107,9;2,0
62361;Verdiensterhebung;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;102,9;0,1;96,8;2,1
62361;Verdiensterhebung;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;104,0;-4,8;98,2;-4,0
62361;Verdiensterhebung;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;101,8;-0,9;95,4;-1,3
62361;Verdiensterhebung;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;115,1;0,2;108,0;0,1
62361;Verdiensterhebung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;100,7;-2,1;96,2;-0,6
62361;Verdiensterhebung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;107,5;3,4;103,6;5,5
62361;Verdiensterhebung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;101,7;-0,1;99,1;3,9
62361;Verdiensterhebung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;114,0;-1,0;111,9;3,6
62361;Verdiensterhebung;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;100,0;-0,7;100,0;4,0
62361;Verdiensterhebung;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;103,6;-3,6;106,6;2,9
62361;Verdiensterhebung;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;97,0;-4,6;101,4;2,3
62361;Verdiensterhebung;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;109,8;-3,7;117,2;4,7
