Monat;Originalwert;Kalender- und saisonbereinigt nach X13 JDemetra+
01.01.2010;82,8;90,9
01.02.2010;81,5;93,4
01.03.2010;98;94
01.04.2010;92,6;93,4
01.05.2010;91,5;94,1
01.06.2010;92,7;94,6
01.07.2010;96,7;95,4
01.08.2010;90,5;94,5
01.09.2010;93,1;94,2
01.10.2010;97,6;93,9
01.11.2010;98;94,1
01.12.2010;112,3;93,8
01.01.2011;85,5;93,9
01.02.2011;83,9;96,2
01.03.2011;95,2;93,6
01.04.2011;97;95,2
01.05.2011;95,6;92,6
01.06.2011;90,8;95,1
01.07.2011;94,3;95,6
01.08.2011;93,6;95,5
01.09.2011;94,2;95,1
01.10.2011;97,2;95,6
01.11.2011;98,8;94,9
01.12.2011;113,2;94,8
01.01.2012;87,2;93,5
01.02.2012;86;94,5
01.03.2012;99,2;95,1
01.04.2012;92,4;95,2
01.05.2012;95;94,7
01.06.2012;95;95,7
01.07.2012;93,4;94,9
01.08.2012;93,6;94,8
01.09.2012;91,3;95,3
01.10.2012;98,7;95
01.11.2012;99,3;94,5
01.12.2012;109,7;94,9
01.01.2013;89,1;95,1
01.02.2013;83,1;94,8
01.03.2013;96,3;95,4
01.04.2013;94,8;94,9
01.05.2013;95,2;95,4
01.06.2013;92,3;94,7
01.07.2013;96,5;95,5
01.08.2013;93,9;95,2
01.09.2013;91,5;95,7
01.10.2013;98,6;95,3
01.11.2013;100,9;96,4
01.12.2013;109,9;95,5
01.01.2014;90;95,7
01.02.2014;84,8;96,4
01.03.2014;95,7;96,9
01.04.2014;98,1;96,4
01.05.2014;97,2;95,5
01.06.2014;92,3;96,9
01.07.2014;97,1;95,5
01.08.2014;92,8;97,1
01.09.2014;93,8;96
01.10.2014;100,5;97
01.11.2014;98,7;96,7
01.12.2014;114,4;97,5
01.01.2015;92,3;98,6
01.02.2015;87,1;98,7
01.03.2015;99,9;98,5
01.04.2015;98,5;99,2
01.05.2015;97,6;100,2
01.06.2015;98,9;99,6
01.07.2015;103;101
01.08.2015;95,8;100,7
01.09.2015;98,4;100,9
01.10.2015;104,4;100,8
01.11.2015;103;100,6
01.12.2015;121;102
01.01.2016;92,6;101,9
01.02.2016;93,4;101,4
01.03.2016;102,3;101,1
01.04.2016;103,1;100,9
01.05.2016;100,4;101,3
01.06.2016;101,5;100,9
01.07.2016;101,3;102,2
01.08.2016;100;102,7
01.09.2016;99,5;101,5
01.10.2016;104,6;104,6
01.11.2016;107,9;102,5
01.12.2016;124,1;103,9
01.01.2017;96,1;103,2
01.02.2017;92;103,7
01.03.2017;108,1;106,3
01.04.2017;104;104,9
01.05.2017;107,3;105,9
01.06.2017;104,7;106,1
01.07.2017;104,5;105,9
01.08.2017;103,1;105,4
01.09.2017;104,6;107,4
01.10.2017;104;105,8
01.11.2017;113,3;106,6
01.12.2017;124,8;107,7
01.01.2018;98,7;105,9
01.02.2018;93,4;104,9
01.03.2018;110,5;106,5
01.04.2018;106,4;109,4
01.05.2018;106,7;107,3
01.06.2018;109;108,3
01.07.2018;106,4;107,9
01.08.2018;105,5;107,6
01.09.2018;101,8;107,6
01.10.2018;110,8;108,4
01.11.2018;116,1;108,4
01.12.2018;123,5;107,6
01.01.2019;102,8;109,6
01.02.2019;98,2;109,9
01.03.2019;109,6;110,6
01.04.2019;113;111
01.05.2019;111,3;109,1
01.06.2019;107,7;112,8
01.07.2019;112,7;111,7
01.08.2019;109,2;111,4
01.09.2019;105,9;112,1
01.10.2019;113,4;110,9
01.11.2019;119,8;111,9
01.12.2019;126,5;111,2
01.01.2020;105,5;111,8
01.02.2020;104,6;112,1
01.03.2020;111,1;111,3
01.04.2020;107,1;105,7
01.05.2020;116,6;118,3
01.06.2020;115,4;118,2
01.07.2020;119,3;117,6
01.08.2020;113,1;119,2
01.09.2020;114,5;118,3
01.10.2020;124,7;120,9
01.11.2020;127,9;122,5
01.12.2020;133,7;114,8
01.01.2021;95,8;104,6
01.02.2021;97,2;108,2
01.03.2021;125,9;119,6
01.04.2021;112,2;113,2
01.05.2021;114,3;118
01.06.2021;123,2;124,8
01.07.2021;119,3;117,6
01.08.2021;113;119,2
01.09.2021;113,3;116,6
01.10.2021;120,7;118,7
01.11.2021;130,5;121,4
01.12.2021;136,5;116,5
01.01.2022;109,5;119,3
01.02.2022;107,4;119,3
01.03.2022;123,2;120
01.04.2022;118,9;117,1
01.05.2022;117,7;116,8
01.06.2022;112,5;115,4
01.07.2022;114,3;116,1
01.08.2022;111,3;114,6
01.09.2022;113,3;116,2
01.10.2022;112,9;113,1
01.11.2022;124,1;115,2
01.12.2022;127,5;109,1
